"","subject","language","abbreviation","framesetter","topic","verb"
"627","34_D","D","7b","3","1","2"
"628","34_D","D","6u","3","1","2"
"629","34_D","D","3b","3","1","2"
"630","34_D","D","1b","3","1","2"
"631","34_D","D","10u","3","1","2"
"632","34_D","D","5b","3","1","2"
"633","34_D","D","9u","3","1","2"
"634","34_D","D","7u","3","1","2"
"635","34_D","D","4b","3","1","2"
"637","34_D","D","2b","3","1","2"
"638","34_D","D","5u","3","1","2"
"639","34_D","D","8b","3","1","2"
"640","34_D","D","1u","3","1","2"
"641","35_D","D","10b","1","2","3"
"642","35_D","D","3u","1","2","3"
"643","35_D","D","6b","1","2","3"
"644","35_D","D","4u","1","2","3"
"645","35_D","D","2u","1","2","3"
"646","35_D","D","9b","1","2","3"
"647","35_D","D","7b","1","2","3"
"648","35_D","D","6u","1","2","3"
"649","35_D","D","3b","1","2","3"
"650","35_D","D","1b","1","2","3"
"651","35_D","D","10u","1","2","3"
"652","35_D","D","5b","1","2","3"
"653","35_D","D","9u","1","2","3"
"654","35_D","D","7u","1","2","3"
"655","35_D","D","4b","1","2","3"
"656","35_D","D","8u","1","2","3"
"657","35_D","D","2b","1","2","3"
"658","35_D","D","5u","1","2","3"
"659","35_D","D","8b","1","2","3"
"660","35_D","D","1u","1","2","3"
"663","1_E","E","10b","1","2","3"
"665","1_E","E","3u","1","2","3"
"666","1_E","E","6b","1","2","3"
"669","1_E","E","4u","2","1","3"
"670","1_E","E","2u","2","1","3"
"671","1_E","E","9b","1","2","3"
"673","1_E","E","7b","1","2","3"
"674","1_E","E","6u","1","2","3"
"676","1_E","E","3b","1","2","3"
"678","1_E","E","1b","1","2","3"
"679","1_E","E","10u","1","2","3"
"681","1_E","E","5b","1","2","3"
"682","1_E","E","9u","1","2","3"
"683","1_E","E","7u","1","2","3"
"684","1_E","E","4b","1","2","3"
"686","1_E","E","8u","1","2","3"
"688","1_E","E","2b","1","2","3"
"689","1_E","E","5u","1","2","3"
"691","1_E","E","8b","1","2","3"
"692","1_E","E","1u","1","2","3"
"695","2_E","E","10b","3","1","2"
"697","2_E","E","3u","2","1","3"
"698","2_E","E","6b","2","1","3"
"701","2_E","E","4u","3","1","2"
"702","2_E","E","2u","3","1","2"
"703","2_E","E","9b","3","1","2"
"706","2_E","E","6u","3","1","2"
"708","2_E","E","3b","3","1","2"
"710","2_E","E","1b","3","1","2"
"711","2_E","E","10u","3","1","2"
"713","2_E","E","5b","3","1","2"
"714","2_E","E","9u","3","1","2"
"715","2_E","E","7u","3","1","2"
"716","2_E","E","4b","3","1","2"
"718","2_E","E","8u","3","1","2"
"720","2_E","E","2b","3","1","2"
"721","2_E","E","5u","3","1","2"
"723","2_E","E","8b","3","1","2"
"724","2_E","E","1u","3","1","2"
"727","3_E","E","10b","3","1","2"
"729","3_E","E","3u","3","1","2"
"730","3_E","E","6b","3","1","2"
"733","3_E","E","4u","2","1","3"
"734","3_E","E","2u","3","1","2"
"735","3_E","E","9b","3","1","2"
"737","3_E","E","7b","3","1","2"
"738","3_E","E","6u","3","1","2"
"740","3_E","E","3b","3","1","2"
"742","3_E","E","1b","3","1","2"
"743","3_E","E","10u","3","1","2"
"745","3_E","E","5b","3","1","2"
"746","3_E","E","9u","3","1","2"
"747","3_E","E","7u","3","1","2"
"748","3_E","E","4b","3","1","2"
"750","3_E","E","8u","3","1","2"
"752","3_E","E","2b","3","1","2"
"753","3_E","E","5u","3","1","2"
"755","3_E","E","8b","3","1","2"
"756","3_E","E","1u","3","1","2"
"759","4_E","E","10b","3","1","2"
"761","4_E","E","3u","1","2","3"
"762","4_E","E","6b","1","2","3"
"766","4_E","E","2u","1","2","3"
"767","4_E","E","9b","1","2","3"
"770","4_E","E","6u","1","2","3"
"774","4_E","E","1b","1","2","3"
"775","4_E","E","10u","1","2","3"
"777","4_E","E","5b","1","2","3"
"779","4_E","E","7u","1","2","3"
"784","4_E","E","2b","1","2","3"
"785","4_E","E","5u","2","1","3"
"787","4_E","E","8b","2","1","3"
"788","4_E","E","1u","1","2","3"
"791","5_E","E","10b","3","1","2"
"793","5_E","E","3u","3","1","2"
"794","5_E","E","6b","3","1","2"
"797","5_E","E","4u","2","1","3"
"798","5_E","E","2u","3","1","2"
"801","5_E","E","7b","3","1","2"
"802","5_E","E","6u","3","1","2"
"804","5_E","E","3b","3","1","2"
"806","5_E","E","1b","3","1","2"
"807","5_E","E","10u","3","1","2"
"809","5_E","E","5b","3","1","2"
"810","5_E","E","9u","3","1","2"
"811","5_E","E","7u","3","1","2"
"812","5_E","E","4b","3","1","2"
"814","5_E","E","8u","3","1","2"
"816","5_E","E","2b","3","1","2"
"817","5_E","E","5u","3","1","2"
