"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"215","11_D","D","4b","E","22","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"216","11_D","D","8u","E","24","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"217","11_D","D","2b","E","26","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"218","11_D","D","5u","E","27","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"219","11_D","D","8b","E","29","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"220","11_D","D","1u","E","30","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"221","12_D","D","10b","E","1","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"222","12_D","D","3u","E","3","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"223","12_D","D","6b","E","4","3","1","2",3,1,2,"Flast","Vmid","Tfirst","Flast","Vmid","Tfirst","VFT","VFT"
"224","12_D","D","4u","E","7","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"225","12_D","D","2u","E","8","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"226","12_D","D","9b","E","9","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"227","12_D","D","7b","E","11","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"229","12_D","D","3b","E","14","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"231","12_D","D","10u","E","17","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"233","12_D","D","9u","E","20","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"234","12_D","D","7u","E","21","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
