subject,language,abbrevation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,action_order,action_FTV,action_TVF,action_TFV,action_FVT,action_VTF,action_VFT,notes,oral text,oral_framesetter,oral_topic,oral_verb,oral_order,oral_FTV,oral_TVF,oral_TFV,oral_FVT,oral_VTF,oral_VFT,notes,MatchActionOral,,,,,,,,,
4,E,Tu,T,T,tire turns around,turn,"tire, dog",1,2,3,FTV,1,0,0,0,0,0,,At 11 o clock the hoop turns,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,10b,E,1,sailor smokes,smoke,"sailor, dog",3,1,2,TVF,0,1,0,0,0,0,,At 6 o clock the sailor smokes ,1,2,3,FTV,1,0,0,0,0,0,,0,,,,,,,,,
4,E,,F,2,horse carries the ball,carry,"horse, farmer, seal",,1,,,0,0,0,0,0,0,,the horse has the ball in its mouth,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,3u,E,3,car drives down the hill,drive,"car, cart",1,2,3,FTV,1,0,0,0,0,0,,At 10 o clock the car drives down the hill,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,6b,E,4,cow hops,hop,"cow, fireman",1,2,3,FTV,1,0,0,0,0,0,,At 3 o clock the cow hops,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,,F,5,boat swims in the sea,swim,"sailor, boat",,1,,,0,0,0,0,0,0,,the boat is in the water,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,,F,6,farmer runs down the street,run,"farmer, horse, farmer",,1,,,0,0,0,0,0,0,,a man walks,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,4u,E,7,ball lies,lie,"ball, doctor",1,2,,,0,0,0,0,0,0,,At 6 o clock the soccer ball is still,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,2u,E,8,car honks,honk,"car, dog",1,2,3,FTV,1,0,0,0,0,0,,At 10 o clock the car honks,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,9b,E,9,seal lies on a rock,lie,"seal, horse",1,2,3,FTV,1,0,0,0,0,0,,At 6 o clock the seal lies on the rock,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,,F,10,car shudders,shudder,car,,1,2,,0,0,0,0,0,0,,the car shudders,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,7b,E,11,farmer runs across the meadow,run,"farmer, cow",1,2,,,0,0,0,0,0,0,,At 6 o clock the woman goes walking,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,6u,E,12,ball hops,hop,"ball, fireman",1,2,3,FTV,1,0,0,0,0,0,,At 23 o clock the soccer ball hops,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,,F,13,car pushes the cart,push,"doctor, ball, tire, car, cart",,1,2,,0,0,0,0,0,0,,the car pushes the trailer,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,3b,E,14,horse runs down the hill,run,"horse, cart",1,2,,,0,0,0,0,0,0,,At 10 o cock the horse goes down the hill,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,,F,15,seal pushes the ball,push,"fireman, cow, ball, seal",,1,2,,0,0,0,0,0,0,,the seal pushes the soccer ball in the water,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,1b,E,16,farmer lies on the ground,lie,"farmer, horse",1,2,3,FTV,1,0,0,0,0,0,,At 3 o clco the man fell,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,10u,E,17,boat smokes,smoke,"boat, dog",1,2,3,FTV,1,0,0,0,0,0,,At 6 oclock the boat started smoking,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,,F,18,cow bites the farmer,bite,"dog, cow, farmer",,1,2,,0,0,0,0,0,0,,the woman was bit bz a cow,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,5b,E,19,doctor dances,dance,"doctor, cart",1,2,3,FTV,1,0,0,0,0,0,,At 3 o clock the woman dances,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,9u,E,20,ball lies on a rock,lie,"ball, horse",1,2,,,0,0,0,0,0,0,,At 6 clock the soccer ball is on the rock,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,7u,E,21,tire rolls down the road,roll,"tire, cow",1,2,3,FTV,1,0,0,0,0,0,,At 6 o clock the hoop rolls,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
